anpha,beta,x,y
1.0,30.0,84.27907678590407,21.474143318266343
1.0,31.0,83.91430860407661,22.06939089119237
1.0,32.0,83.53920747563653,22.658181722465258
1.0,33.0,83.15388766002123,23.240336460694053
1.0,34.0,82.75846652937923,23.815677775906018
1.0,35.0,82.35306453281746,24.384030413563103
1.0,36.0,81.93780515971127,24.945221247946108
1.0,37.0,81.51281490208844,25.499079334890506
1.0,38.0,81.0782232160984,26.04543596385767
1.0,39.0,80.63416248257869,26.584124709325746
1.0,40.0,80.18076796673044,27.114981481484467
1.0,41.0,79.71817777691533,27.637844576218505
1.0,42.0,79.24653282258637,28.152554724364116
1.0,43.0,78.76597677136562,28.658955140224066
1.0,44.0,78.27665600528147,29.156891569326074
1.0,45.0,77.77871957617945,29.64621233541022
1.0,46.0,77.27231916031951,30.126768386630992
1.0,47.0,76.7576090121739,30.598413340959944
1.0,48.0,76.23474591743985,31.061003530775057
1.0,49.0,75.70388914528114,31.514398046623295
1.0,50.0,75.16520039981307,31.958458780143012
1.0,51.0,74.6188437708459,32.393050466133054
1.0,52.0,74.0649856839015,32.818040723755885
1.0,53.0,73.5037948495185,33.233300096862074
1.0,54.0,72.93544221186141,33.638702093423845
1.0,55.0,72.36010089664944,34.034123224065844
1.0,56.0,71.77794615842065,34.41944303968114
1.0,57.0,71.18915532714776,34.79454416812121
1.0,58.0,70.59390775422173,35.15931234994867
1.0,59.0,69.99238475781956,35.51363647324172
1.0,60.0,69.38476956767305,35.85740860744001
1.0,61.0,68.7712472692552,36.19052403622125
1.0,62.0,68.15200474740143,36.51288128939889
1.0,63.0,67.52723062938267,36.824382173830855
1.0,64.0,66.89711522744754,37.12493180333017
1.0,65.0,66.26185048085158,37.41443862756821
1.0,66.0,65.6216298973905,37.69281445996179
1.0,67.0,64.97664849445604,37.95997450453567
1.0,68.0,64.32710273963158,38.215837381752245
1.0,69.0,63.673190490846316,38.46032515330051
1.0,70.0,63.015110936105835,38.69336334583684
1.0,71.0,62.35306453281746,38.914880973670314
1.0,72.0,61.68725294672903,39.12481056038559
1.0,73.0,61.01787899049953,39.32308815939693
1.0,74.0,60.345146561920394,39.50965337342691
1.0,75.0,59.66926058180627,39.684449372904034
1.0,76.0,58.99042693157416,39.84742291327358
1.0,77.0,58.30885239052994,39.998524351216396
1.0,78.0,57.62474457288136,40.13770765977073
1.0,79.0,56.93831186449678,40.264930442352494
1.0,80.0,56.249763359428805,40.38015394566969
1.0,81.0,55.55930879622218,40.48334307152699
1.0,82.0,54.86715849402546,40.574466387517056
1.0,83.0,54.1735232885257,40.65349613659511
1.0,84.0,53.47861446772589,40.720408245533996
1.0,85.0,52.782643707584576,40.775182332257145
1.0,86.0,52.08582300753732,40.81780171204713
1.0,87.0,51.38836462591961,40.848253402628
1.0,88.0,50.69048101531091,40.866528128119825
1.0,89.0,49.992384757819565,40.872620321864176
1.0,90.0,49.29428850032823,40.866528128119825
